Episode,ClassId,SurvivalTime,DamageTaken,AvgDistance,IsWin,SkillId,CastCount,HitCount,TotalDamage,ChargeAttempt,ChargeSuccess,CcAttempt,CcSuccess
11,1,41.98,46.00,6.75,1,9,9,0,0.00,9,9,9,0
11,1,41.98,46.00,6.75,1,12,3,3,180.00,3,3,3,3
12,0,21.10,31.50,3.70,1,1,25,1,20.00,0,0,0,0
12,0,21.10,31.50,3.70,1,2,9,3,30.00,0,0,0,0
12,0,21.10,31.50,3.70,1,3,5,2,60.00,5,5,5,2
12,0,21.10,31.50,3.70,1,6,4,3,150.00,4,4,4,3
12,1,21.10,248.00,3.70,0,12,2,0,0.00,2,2,2,0
12,1,21.10,248.00,3.70,0,7,9,6,30.00,0,0,0,0
12,1,21.10,248.00,3.70,0,9,4,0,0.00,4,3,4,0
12,1,21.10,248.00,3.70,0,8,3,0,0.00,0,0,0,0
13,0,31.14,252.00,4.52,0,3,5,1,30.00,5,5,5,1
13,0,31.14,252.00,4.52,0,6,4,2,100.00,4,4,4,2
13,0,31.14,252.00,4.52,0,2,9,2,20.00,0,0,0,0
13,0,31.14,252.00,4.52,0,1,28,5,100.00,0,0,0,0
13,1,31.14,200.00,4.52,1,8,5,0,0.00,0,0,0,0
13,1,31.14,200.00,4.52,1,12,2,2,120.00,2,2,2,2
13,1,31.14,200.00,4.52,1,7,19,11,55.00,0,0,0,0
13,1,31.14,200.00,4.52,1,9,6,2,60.00,6,6,6,2
14,0,41.98,254.75,6.85,0,6,5,0,0.00,5,4,5,0
14,0,41.98,254.75,6.85,0,3,7,0,0.00,7,7,7,0
14,0,41.98,254.75,6.85,0,2,12,0,0.00,0,0,0,0
14,0,41.98,254.75,6.85,0,1,33,0,0.00,0,0,0,0
14,1,41.98,46.00,6.85,1,9,8,0,0.00,8,8,8,0
14,1,41.98,46.00,6.85,1,12,3,3,180.00,3,3,3,3
14,1,41.98,46.00,6.85,1,8,7,0,0.00,0,0,0,0
14,1,41.98,46.00,6.85,1,7,24,3,15.00,0,0,0,0
15,0,42.34,302.00,5.31,0,1,46,2,40.00,0,0,0,0
15,0,42.34,302.00,5.31,0,6,6,1,50.00,6,5,6,1
15,0,42.34,302.00,5.31,0,2,16,2,20.00,0,0,0,0
15,0,42.34,302.00,5.31,0,3,9,2,60.00,9,9,9,2
15,1,42.32,182.00,5.31,1,9,9,0,0.00,9,9,9,0
15,1,42.32,182.00,5.31,1,8,9,0,0.00,0,0,0,0
15,1,42.32,182.00,5.31,1,12,4,2,120.00,4,3,4,2
15,1,42.32,182.00,5.31,1,7,33,12,60.00,0,0,0,0
16,0,41.48,258.00,6.36,0,3,7,0,0.00,7,7,7,0
16,0,41.48,258.00,6.36,0,1,38,0,0.00,0,0,0,0
16,0,41.48,258.00,6.36,0,2,14,0,0.00,0,0,0,0
16,0,41.48,258.00,6.36,0,6,5,0,0.00,5,4,5,0
16,1,41.48,34.50,6.36,1,8,9,0,0.00,0,0,0,0
16,1,41.48,34.50,6.36,1,9,9,0,0.00,9,9,9,0
16,1,41.48,34.50,6.36,1,7,26,6,30.00,0,0,0,0
16,1,41.48,34.50,6.36,1,12,3,3,180.00,3,3,3,3
17,0,36.58,252.00,4.15,0,6,6,2,100.00,6,6,6,2
17,0,36.58,252.00,4.15,0,1,35,4,80.00,0,0,0,0
17,0,36.58,252.00,4.15,0,2,14,3,30.00,0,0,0,0
17,0,36.58,252.00,4.15,0,3,7,1,30.00,7,7,7,1
17,1,36.58,192.00,4.15,1,12,3,3,180.00,3,3,3,3
17,1,36.58,192.00,4.15,1,9,7,0,0.00,7,7,7,0
17,1,36.58,192.00,4.15,1,8,7,0,0.00,0,0,0,0
17,1,36.58,192.00,4.15,1,7,24,11,55.00,0,0,0,0
18,0,27.76,257.25,5.53,0,1,30,1,20.00,0,0,0,0
18,0,27.76,257.25,5.53,0,6,5,1,50.00,5,5,5,1
18,0,27.76,257.25,5.53,0,3,7,1,30.00,7,7,7,1
18,0,27.76,257.25,5.53,0,2,11,0,0.00,0,0,0,0
18,1,27.74,80.00,5.53,1,8,6,0,0.00,0,0,0,0
18,1,27.74,80.00,5.53,1,7,21,7,35.00,0,0,0,0
18,1,27.74,80.00,5.53,1,12,3,2,120.00,3,3,3,2
18,1,27.74,80.00,5.53,1,9,6,1,30.00,6,6,6,1
19,0,41.48,252.75,4.70,0,1,34,1,20.00,0,0,0,0
19,0,41.48,252.75,4.70,0,2,13,0,0.00,0,0,0,0
19,0,41.48,252.75,4.70,0,6,5,0,0.00,5,5,5,0
19,0,41.48,252.75,4.70,0,3,7,1,30.00,7,7,7,1
19,1,41.48,74.50,4.70,1,8,8,0,0.00,0,0,0,0
19,1,41.48,74.50,4.70,1,12,3,2,120.00,3,3,3,2
19,1,41.48,74.50,4.70,1,7,24,11,55.00,0,0,0,0
19,1,41.48,74.50,4.70,1,9,7,1,30.00,7,7,7,1
20,0,31.78,252.00,5.53,0,2,10,1,10.00,0,0,0,0
20,0,31.78,252.00,5.53,0,3,6,1,30.00,6,6,6,1
20,0,31.78,252.00,5.53,0,1,30,1,20.00,0,0,0,0
20,0,31.78,252.00,5.53,0,6,4,1,50.00,4,3,4,1
20,1,31.76,88.00,5.53,1,9,7,0,0.00,7,7,7,0
20,1,31.76,88.00,5.53,1,12,3,3,180.00,3,3,3,3
20,1,31.76,88.00,5.53,1,7,21,6,30.00,0,0,0,0
20,1,31.76,88.00,5.53,1,8,6,0,0.00,0,0,0,0
21,0,35.24,273.00,2.98,0,6,5,2,100.00,5,4,5,2
21,0,35.24,273.00,2.98,0,1,39,5,100.00,0,0,0,0
21,0,35.24,273.00,2.98,0,3,7,1,30.00,7,7,7,1
21,0,35.24,273.00,2.98,0,2,10,2,20.00,0,0,0,0
21,1,35.22,200.00,2.98,1,12,3,1,60.00,3,2,3,1
21,1,35.22,200.00,2.98,1,8,6,0,0.00,0,0,0,0
21,1,35.22,200.00,2.98,1,7,17,16,80.00,0,0,0,0
21,1,35.22,200.00,2.98,1,9,5,2,60.00,5,5,5,2
22,0,32.74,262.50,4.16,0,3,7,1,30.00,7,7,7,1
22,0,32.74,262.50,4.16,0,6,4,2,100.00,4,4,4,2
22,0,32.74,262.50,4.16,0,1,31,3,60.00,0,0,0,0
22,0,32.74,262.50,4.16,0,2,11,4,40.00,0,0,0,0
22,1,32.72,184.00,4.16,1,9,6,2,60.00,6,6,6,2
22,1,32.72,184.00,4.16,1,7,22,14,70.00,0,0,0,0
22,1,32.72,184.00,4.16,1,8,6,0,0.00,0,0,0,0
22,1,32.72,184.00,4.16,1,12,3,1,60.00,3,2,3,1
23,0,31.04,267.75,4.77,0,6,5,0,0.00,5,5,5,0
23,0,31.04,267.75,4.77,0,1,29,2,40.00,0,0,0,0
23,0,31.04,267.75,4.77,0,3,7,0,0.00,7,7,7,0
23,0,31.04,267.75,4.77,0,2,11,1,10.00,0,0,0,0
23,1,31.02,40.00,4.76,1,12,3,2,120.00,3,3,3,2
23,1,31.02,40.00,4.76,1,7,19,9,45.00,0,0,0,0
23,1,31.02,40.00,4.76,1,8,6,0,0.00,0,0,0,0
23,1,31.02,40.00,4.76,1,9,5,1,30.00,5,5,5,1
24,0,42.04,307.25,5.69,0,1,44,0,0.00,0,0,0,0
24,0,42.04,307.25,5.69,0,2,15,2,20.00,0,0,0,0
24,0,42.04,307.25,5.69,0,3,9,0,0.00,9,9,9,0
24,0,42.04,307.25,5.69,0,6,6,1,50.00,6,5,6,1
24,1,42.02,102.00,5.69,1,8,9,0,0.00,0,0,0,0
24,1,42.02,102.00,5.69,1,7,33,13,65.00,0,0,0,0
24,1,42.02,102.00,5.69,1,9,9,0,0.00,9,9,9,0
24,1,42.02,102.00,5.69,1,12,4,2,120.00,4,4,4,2
25,0,42.06,202.25,6.21,1,3,10,1,30.00,10,10,10,1
25,0,42.06,202.25,6.21,1,2,17,2,20.00,0,0,0,0
25,0,42.06,202.25,6.21,1,1,46,3,60.00,0,0,0,0
25,0,42.06,202.25,6.21,1,6,7,2,100.00,7,7,7,2
25,1,42.06,238.00,6.21,0,12,3,2,120.00,3,2,3,2
25,1,42.06,238.00,6.21,0,7,24,5,25.00,0,0,0,0
25,1,42.06,238.00,6.21,0,8,7,0,0.00,0,0,0,0
25,1,42.06,238.00,6.21,0,9,7,0,0.00,7,7,7,0
26,0,24.52,162.75,3.07,1,6,3,2,100.00,3,3,3,2
26,0,24.52,162.75,3.07,1,3,4,0,0.00,4,4,4,0
26,0,24.52,162.75,3.07,1,1,21,8,160.00,0,0,0,0
26,0,24.52,162.75,3.07,1,2,9,2,20.00,0,0,0,0
26,1,24.52,232.00,3.07,0,7,16,13,65.00,0,0,0,0
26,1,24.52,232.00,3.07,0,8,5,0,0.00,0,0,0,0
26,1,24.52,232.00,3.07,0,9,5,1,30.00,5,4,5,1
26,1,24.52,232.00,3.07,0,12,2,1,60.00,2,2,2,1
27,0,43.48,255.50,5.63,0,3,8,0,0.00,8,8,8,0
27,0,43.48,255.50,5.63,0,2,14,0,0.00,0,0,0,0
27,0,43.48,255.50,5.63,0,1,43,3,60.00,0,0,0,0
27,0,43.48,255.50,5.63,0,6,6,1,50.00,6,5,6,1
27,1,43.48,168.50,5.63,1,9,7,0,0.00,7,7,7,0
27,1,43.48,168.50,5.63,1,12,3,2,120.00,3,3,3,2
27,1,43.48,168.50,5.63,1,8,7,0,0.00,0,0,0,0
27,1,43.48,168.50,5.63,1,7,26,8,40.00,0,0,0,0
28,0,42.48,256.75,6.32,0,2,15,0,0.00,0,0,0,0
28,0,42.48,256.75,6.32,0,6,6,0,0.00,6,5,6,0
28,0,42.48,256.75,6.32,0,1,42,1,20.00,0,0,0,0
28,0,42.48,256.75,6.32,0,3,8,0,0.00,8,8,8,0
28,1,42.48,73.50,6.32,1,12,3,2,120.00,3,3,3,2
28,1,42.48,73.50,6.32,1,9,8,1,30.00,8,8,8,1
28,1,42.48,73.50,6.32,1,7,27,7,35.00,0,0,0,0
28,1,42.48,73.50,6.32,1,8,8,0,0.00,0,0,0,0
29,0,43.48,260.75,6.99,0,3,7,0,0.00,7,7,7,0
29,0,43.48,260.75,6.99,0,1,35,0,0.00,0,0,0,0
29,0,43.48,260.75,6.99,0,6,5,0,0.00,5,5,5,0
29,0,43.48,260.75,6.99,0,2,13,0,0.00,0,0,0,0
29,1,43.48,80.50,6.99,1,12,3,2,120.00,3,3,3,2
29,1,43.48,80.50,6.99,1,7,31,9,45.00,0,0,0,0
29,1,43.48,80.50,6.99,1,9,8,0,0.00,8,8,8,0
29,1,43.48,80.50,6.99,1,8,8,0,0.00,0,0,0,0
30,0,40.48,254.00,3.62,0,3,7,2,60.00,7,7,7,2
30,0,40.48,254.00,3.62,0,2,13,4,40.00,0,0,0,0
30,0,40.48,254.00,3.62,0,1,39,1,20.00,0,0,0,0
30,0,40.48,254.00,3.62,0,6,5,3,150.00,5,5,5,3
30,1,40.48,227.50,3.62,1,8,8,0,0.00,0,0,0,0
30,1,40.48,227.50,3.62,1,9,7,1,30.00,7,7,7,1
30,1,40.48,227.50,3.62,1,7,22,16,80.00,0,0,0,0
30,1,40.48,227.50,3.62,1,12,3,2,120.00,3,2,3,2
31,0,40.48,259.25,5.43,0,6,6,1,50.00,6,6,6,1
31,0,40.48,259.25,5.43,0,1,41,3,60.00,0,0,0,0
31,0,40.48,259.25,5.43,0,3,7,1,30.00,7,7,7,1
31,0,40.48,259.25,5.43,0,2,16,0,0.00,0,0,0,0
31,1,40.48,123.50,5.43,1,9,7,0,0.00,7,7,7,0
31,1,40.48,123.50,5.43,1,12,3,3,180.00,3,3,3,3
31,1,40.48,123.50,5.43,1,8,6,0,0.00,0,0,0,0
31,1,40.48,123.50,5.43,1,7,23,11,55.00,0,0,0,0
32,0,40.98,235.00,4.32,1,6,6,2,100.00,6,6,6,2
32,0,40.98,235.00,4.32,1,2,15,3,30.00,0,0,0,0
32,0,40.98,235.00,4.32,1,3,9,2,60.00,9,8,9,2
32,0,40.98,235.00,4.32,1,1,45,4,80.00,0,0,0,0
32,1,40.98,239.00,4.32,0,12,3,2,120.00,3,2,3,2
32,1,40.98,239.00,4.32,0,9,8,0,0.00,8,8,8,0
32,1,40.98,239.00,4.32,0,8,8,0,0.00,0,0,0,0
32,1,40.98,239.00,4.32,0,7,25,16,80.00,0,0,0,0
33,0,41.48,205.50,5.11,1,3,8,0,0.00,8,8,8,0
33,0,41.48,205.50,5.11,1,2,14,3,30.00,0,0,0,0
33,0,41.48,205.50,5.11,1,1,35,6,120.00,0,0,0,0
33,0,41.48,205.50,5.11,1,6,5,2,100.00,5,5,5,2
33,1,41.48,234.50,5.11,0,9,7,0,0.00,7,7,7,0
33,1,41.48,234.50,5.11,0,7,25,8,40.00,0,0,0,0
33,1,41.48,234.50,5.11,0,8,7,0,0.00,0,0,0,0
33,1,41.48,234.50,5.11,0,12,3,2,120.00,3,3,3,2
